val_week,tx_count,fraud_count,fraud_rate_pct,tp_count,fp_count,recall_pct,precision_pct
0,18549,639,3.4449296458030085,434,1979,67.91862284820031,17.98590965602984
1,21443,660,3.0779275287972765,464,2296,70.3030303030303,16.81159420289855
2,19811,565,2.851950936348493,395,2253,69.91150442477876,14.91691842900302
3,21038,729,3.4651582850080804,493,2302,67.62688614540467,17.638640429338103
4,19941,733,3.675843739030139,521,2127,71.07776261937244,19.67522658610272
5,17752,747,4.20797656602073,530,2042,70.95046854082999,20.606531881804045
