threshold,precision,recall,f1_score,accuracy,specificity,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,flagged_count,flagged_rate_pct,fraud_capture_rate_pct
0.52,0.1903,0.6803,0.2974,0.8896,0.897,0.103,0.3197,2771,11788,102673,1302,14559,12.28,68.03
0.53,0.1965,0.6735,0.3043,0.8942,0.902,0.098,0.3265,2743,11213,103248,1330,13956,11.77,67.35
0.54,0.2033,0.6656,0.3115,0.8989,0.9072,0.0928,0.3344,2711,10622,103839,1362,13333,11.25,66.56
0.55,0.2099,0.6577,0.3182,0.9031,0.9119,0.0881,0.3423,2679,10087,104374,1394,12766,10.77,65.77
0.56,0.2165,0.6487,0.3246,0.9073,0.9165,0.0835,0.3513,2642,9561,104900,1431,12203,10.29,64.87
0.57,0.2238,0.6415,0.3319,0.9112,0.9208,0.0792,0.3585,2613,9061,105400,1460,11674,9.85,64.15
0.58,0.2295,0.6329,0.3369,0.9144,0.9244,0.0756,0.3671,2578,8654,105807,1495,11232,9.48,63.29
0.59,0.2369,0.6256,0.3437,0.9179,0.9283,0.0717,0.3744,2548,8208,106253,1525,10756,9.07,62.56
0.6,0.2449,0.6187,0.3509,0.9213,0.9321,0.0679,0.3813,2520,7771,106690,1553,10291,8.68,61.87
0.61,0.2531,0.6116,0.3581,0.9246,0.9358,0.0642,0.3884,2491,7350,107111,1582,9841,8.3,61.16
0.62,0.2602,0.6008,0.3632,0.9276,0.9392,0.0608,0.3992,2447,6956,107505,1626,9403,7.93,60.08
0.63,0.2692,0.5929,0.3703,0.9307,0.9427,0.0573,0.4071,2415,6556,107905,1658,8971,7.57,59.29
0.64,0.2778,0.5841,0.3765,0.9335,0.946,0.054,0.4159,2379,6185,108276,1694,8564,7.22,58.41
0.65,0.286,0.5735,0.3817,0.9362,0.9491,0.0509,0.4265,2336,5831,108630,1737,8167,6.89,57.35
0.66,0.2944,0.5647,0.387,0.9385,0.9518,0.0482,0.4353,2300,5513,108948,1773,7813,6.59,56.47
0.67,0.3045,0.5559,0.3935,0.9411,0.9548,0.0452,0.4441,2264,5170,109291,1809,7434,6.27,55.59
0.68,0.3147,0.5463,0.3994,0.9435,0.9577,0.0423,0.4537,2225,4845,109616,1848,7070,5.96,54.63
0.69,0.3271,0.5392,0.4072,0.946,0.9605,0.0395,0.4608,2196,4518,109943,1877,6714,5.66,53.92
0.7,0.3388,0.5308,0.4136,0.9483,0.9631,0.0369,0.4692,2162,4220,110241,1911,6382,5.38,53.08
0.71,0.3508,0.5217,0.4195,0.9504,0.9656,0.0344,0.4783,2125,3932,110529,1948,6057,5.11,52.17
0.72,0.3634,0.5124,0.4252,0.9524,0.9681,0.0319,0.4876,2087,3656,110805,1986,5743,4.85,51.24
0.73,0.3776,0.5058,0.4324,0.9544,0.9703,0.0297,0.4942,2060,3395,111066,2013,5455,4.6,50.58
0.74,0.3919,0.4955,0.4376,0.9562,0.9726,0.0274,0.5045,2018,3131,111330,2055,5149,4.34,49.55
0.75,0.4065,0.4878,0.4435,0.9579,0.9747,0.0253,0.5122,1987,2901,111560,2086,4888,4.12,48.78
0.76,0.4225,0.4756,0.4474,0.9596,0.9769,0.0231,0.5244,1937,2648,111813,2136,4585,3.87,47.56
0.77,0.4385,0.465,0.4514,0.9612,0.9788,0.0212,0.535,1894,2425,112036,2179,4319,3.64,46.5
0.78,0.458,0.4542,0.4561,0.9628,0.9809,0.0191,0.5458,1850,2189,112272,2223,4039,3.41,45.42
0.79,0.4772,0.4424,0.4592,0.9642,0.9828,0.0172,0.5576,1802,1974,112487,2271,3776,3.19,44.24
0.8,0.4966,0.4292,0.4604,0.9654,0.9845,0.0155,0.5708,1748,1772,112689,2325,3520,2.97,42.92
0.81,0.5143,0.4154,0.4596,0.9664,0.986,0.014,0.5846,1692,1598,112863,2381,3290,2.78,41.54
0.82,0.5394,0.4049,0.4626,0.9677,0.9877,0.0123,0.5951,1649,1408,113053,2424,3057,2.58,40.49
0.83,0.5601,0.3945,0.463,0.9685,0.989,0.011,0.6055,1607,1262,113199,2466,2869,2.42,39.45
0.84,0.5831,0.3808,0.4607,0.9694,0.9903,0.0097,0.6192,1551,1109,113352,2522,2660,2.24,38.08
0.85,0.6149,0.3712,0.463,0.9704,0.9917,0.0083,0.6288,1512,947,113514,2561,2459,2.07,37.12
0.86,0.6435,0.3621,0.4635,0.9712,0.9929,0.0071,0.6379,1475,817,113644,2598,2292,1.93,36.21
0.87,0.6705,0.3472,0.4575,0.9717,0.9939,0.0061,0.6528,1414,695,113766,2659,2109,1.78,34.72
0.88,0.6952,0.3332,0.4505,0.9721,0.9948,0.0052,0.6668,1357,595,113866,2716,1952,1.65,33.32
0.89,0.7276,0.3226,0.447,0.9726,0.9957,0.0043,0.6774,1314,492,113969,2759,1806,1.52,32.26
0.9,0.7545,0.3101,0.4395,0.9728,0.9964,0.0036,0.6899,1263,411,114050,2810,1674,1.41,31.01
0.91,0.7791,0.2971,0.4301,0.973,0.997,0.003,0.7029,1210,343,114118,2863,1553,1.31,29.71
0.92,0.8059,0.2823,0.4182,0.973,0.9976,0.0024,0.7177,1150,277,114184,2923,1427,1.2,28.23
0.93,0.8433,0.2669,0.4054,0.9731,0.9982,0.0018,0.7331,1087,202,114259,2986,1289,1.09,26.69
0.94,0.8618,0.248,0.3851,0.9728,0.9986,0.0014,0.752,1010,162,114299,3063,1172,0.99,24.8
0.95,0.8875,0.2286,0.3635,0.9725,0.999,0.001,0.7714,931,118,114343,3142,1049,0.88,22.86
0.96,0.9016,0.2048,0.3337,0.9719,0.9992,0.0008,0.7952,834,91,114370,3239,925,0.78,20.48
0.97,0.9123,0.1736,0.2917,0.971,0.9994,0.0006,0.8264,707,68,114393,3366,775,0.65,17.36
0.98,0.9285,0.1402,0.2436,0.9701,0.9996,0.0004,0.8598,571,44,114417,3502,615,0.52,14.02
0.99,0.9513,0.0815,0.1502,0.9683,0.9999,0.0001,0.9185,332,17,114444,3741,349,0.29,8.15
