feature_name,mean_abs_shap,native_gain,shap_share_pct,gain_share_pct,is_engineered
C13,0.24962629032386494,222014.46395897865,4.080625026474081,2.1514802931021206,false
card6,0.22625933396089162,177215.06232452393,3.6986468830518984,1.7173417777975268,false
V258,0.2215850509798714,1099959.8655059338,3.622236677666775,10.659404489414431,false
C14,0.20814273398142177,549576.5635309219,3.402495980136458,5.325793305998457,false
C1,0.17525628846938007,178598.10894989967,2.864903355521053,1.7307444971784005,false
DeviceInfo,0.14830963740024203,23795.963221490383,2.42440817134102,0.23060004746302898,false
C11,0.12315918181008642,133338.21585559845,2.013275279948602,1.292143487478916,false
D2,0.11476509588295196,363011.5518774986,1.8760576933546622,3.517843775156754,false
V294,0.10576154433539894,558733.0726699829,1.728877211184985,5.414526484076166,false
TransactionAmt,0.10212732522989139,181972.09552669525,1.6694688635530746,1.7634408607383352,false
D15,0.09909543005750684,128374.570707798,1.619906666790759,1.244042185757341,false
P_emaildomain,0.09740274421170744,78164.25874711946,1.5922364393665318,0.757468046543287,false
M4,0.09352230979333763,129683.19508552551,1.5288032257388828,1.2567236998783036,false
card1,0.09180593471522432,212815.4272788763,1.5007457519468443,2.06233499247693,false
D1,0.09103231973746306,97467.38037967682,1.4880995173094107,0.9445292183571825,false
fe_time_rel_days,0.08687877687963123,178565.15613114834,1.4202018174629258,1.7304251605960834,true
C5,0.08256927760064126,94545.64737415314,1.349754707959343,0.9162155181099243,false
M6,0.0813672702853259,49641.40616226196,1.3301055711375878,0.48106103167998354,false
M5,0.080141660469464,41617.48247909546,1.310070605746684,0.40330342359514343,false
V69,0.07895269420223118,118809.9849653244,1.2906346501051162,1.1513544510500218,false
V70,0.07704785304213807,87076.6979675293,1.2594963333066362,0.8438360110634957,false
R_emaildomain,0.07221403844755739,111811.78883635998,1.1804782748225302,1.0835368828148617,false
V90,0.06842569051208515,178366.3239326477,1.1185503930500489,1.7284983331764636,false
C2,0.06816624828908703,136589.82959139347,1.1143093075990067,1.3236539699429584,false
C6,0.06308549542948354,82197.70558619499,1.031254565066362,0.7965550557083722,false
card2,0.0629673760542005,187594.54223573208,1.0293236751818626,1.8179264247768328,false
V91,0.059331834220651906,85358.53629684448,0.9698937049991365,0.8271857851776506,false
fe_stat_card1_hist_mean,0.056728701346065974,93093.24977362156,0.927340458137633,0.9021407377574611,true
D3,0.05481338636776535,80678.52350473404,0.896030926501786,0.7818330855645665,false
D4,0.05419156432198484,81274.79962062836,0.885866041229753,0.7876114312169972,false
fe_stat_card1_hist_std,0.053052499421475836,94891.42047801614,0.8672458200432553,0.9195663088898595,true
D11,0.05286333670140643,54688.75830245018,0.864153589138451,0.5299735145350115,false
dist1,0.051385206396445636,89279.98437595367,0.8399906874385249,0.8651874455748104,false
V45,0.048650594033517965,43510.85572385788,0.7952881537775451,0.4216515760125726,false
card3,0.04852716977198574,62173.791568279266,0.793270545256307,0.6025088857783039,false
D8,0.04805977852431089,57883.52367901802,0.7856301303787616,0.5609330953938545,false
fe_time_sin_hour,0.04738130753421141,41074.93221916258,0.7745392084316196,0.3980457202390293,true
fe_time_rel_hours,0.047210072751832685,66944.66671010852,0.7717400443793441,0.6487421070984832,true
addr1,0.04663564732995277,148259.10569381714,0.7623499486914058,1.4367376723352985,false
fe_stat_card1_prod_mean,0.0443806299179578,112313.32582187653,0.7254873230657838,1.0883971379593196,true
D10,0.043552495507724054,89814.4494150877,0.711949862747402,0.8703667973095757,false
fe_net_card_unique_addr_count,0.041274188499377557,76580.34881445765,0.6747065235775245,0.7421188168336398,true
id_14,0.040959321828520086,12564.6208268404,0.6695594182168007,0.12176023857725939,false
fe_amt_cents,0.04029728666778356,37744.11193341017,0.658737171722642,0.3657676691748194,true
fe_stat_card1_prior_txn_count,0.0375705752274025,70067.83656466007,0.6141637939379688,0.6790078757076844,true
V312,0.036278985393260514,107121.76207351685,0.5930502574018077,1.0380871406023773,false
card5,0.03622717802604703,74849.85416698456,0.5922033656784528,0.7253490755070342,false
fe_stat_card1_addr1_mean,0.035727374742756834,102755.80395704508,0.5840331133245767,0.9957778573214742,true
fe_stat_amt_zscore_card1,0.03552613764285606,58467.97996452451,0.5807435033037541,0.5665968983642736,true
id_02,0.034223064911081805,39368.184330523014,0.5594422565733106,0.3815061021338766,false
ProductCD,0.032460455746317174,41249.43313407898,0.5306289971193504,0.39973675997074815,false
V165,0.032310345351793376,17017.92305767536,0.5281751520863093,0.16491594932698528,false
fe_stat_amt_to_card1_prod_mean_ratio,0.031320464140523314,47603.091972857714,0.5119936271407418,0.46130829696417713,true
V187,0.03020847062083826,45963.751569747925,0.49381594008776064,0.44542190601431325,false
M7,0.030198218338960088,3624.1192207336426,0.4936483466906218,0.03512032929846287,false
fe_stat_amt_coef_variation,0.028890539350092156,79753.59216606617,0.4722718017696293,0.7728698337469544,true
C4,0.028879801008985406,222011.9241194725,0.4720962627933213,2.1514556802253395,false
id_31,0.028369733175742113,18400.97591203451,0.46375821649686916,0.1783187290712012,false
C8,0.027955418781268223,68107.44709968567,0.4569854455490449,0.6600102877781125,false
fe_freq_card1_addr1_cumulative,0.027496274054432873,73572.50970193744,0.44947983602102953,0.7129706863019069,true
V189,0.02719884776064887,17560.14327430725,0.4446178273905611,0.17017045432545522,false
fe_nov_email_mismatch,0.026539805096092196,11045.792733192444,0.4338444990403501,0.10704169883069035,true
fe_net_card_unique_device_count,0.025895844312115064,16706.185482025146,0.4233177132288247,0.1618949873649989,true
D13,0.025737621685654185,13361.597709178925,0.42073125805836553,0.1294835194204666,false
V156,0.02434970700339737,25635.956558465958,0.39804310538149773,0.24843091007148319,false
id_17,0.024279953340608434,15752.510276317596,0.39690284671044396,0.15265318674304026,false
fe_stat_amt_diff_hist_mean,0.024252340855836572,45776.332563489676,0.3964514671852465,0.44360568065977096,true
id_20,0.023184478516451994,29988.473415076733,0.3789951897183643,0.29060993784925493,false
fe_amt_log1p,0.023053335768927208,41892.91456460953,0.3768514075995181,0.4059725591708374,true
V62,0.023000960426415095,34642.81716346741,0.3759952312202281,0.3357138859138091,false
fe_stat_amt_to_hist_mean_ratio,0.022900074422147174,34268.7312926352,0.374346054151168,0.3320887240001594,true
V310,0.02085357595935321,46947.51407241821,0.3408920744718514,0.45495527424557863,false
V87,0.020671282708423368,20175.92907810211,0.3379121383403784,0.1955193055105779,false
V30,0.020576474740342608,10178.42707824707,0.3363623185407188,0.09863630001003793,false
D5,0.020190746972554897,37693.50785064697,0.33005685135375545,0.365277279112505,false
fe_freq_card_full_cumulative,0.020045042472547507,58811.34225773811,0.327675029197008,0.5699243266501168,true
C9,0.019641466868275035,36766.34160757065,0.3210778045668137,0.35629236945915554,false
C12,0.019592557368489753,16707.3727735281,0.32027828409724607,0.16190649307604685,false
M3,0.018965870465443846,15501.468647003174,0.3100338733141717,0.1502204122805709,false
id_06,0.018629929896120348,23060.88600771129,0.3045422742810294,0.22347661905592148,false
V149,0.018595191394652506,27568.38591313362,0.3039744062159792,0.26715754436476835,false
id_30,0.01809013608832905,20136.752398729324,0.29571829937697935,0.19513965522961554,false
V38,0.01799483183806314,23568.214071273804,0.2941603668841323,0.22839299392370524,false
V308,0.01779933024857035,44312.309284210205,0.29096451488567204,0.42941823909472726,false
V55,0.017622720888310583,8893.365062236786,0.2880774929520024,0.08618312216946689,false
fe_roll_card_txn_count_24h,0.017440798563154655,39856.413551449776,0.28510362032046793,0.3862373954406704,true
