ProductCD,tx_count,fraud_count,fraud_rate_pct,tp_count,fp_count,recall_pct,precision_pct
W,94001,1812,1.927639067669493,1005,10566,55.4635761589404,8.685506870624838
C,12167,1624,13.34757951836936,1334,1431,82.14285714285714,48.24593128390597
R,5505,257,4.668483197093551,221,415,85.99221789883269,34.74842767295597
S,3510,183,5.213675213675214,123,126,67.21311475409836,49.39759036144578
H,3351,197,5.87884213667562,154,461,78.1725888324873,25.040650406504067
